timestamp,open,high,low,close,volume,low,on_balance_volume,volume_sma_50,bb_width,price_volatility,macd_signal,volume_volatility,price_range,lower_shadow,body_size,volume,lag_volume_2,lag_volume_3,macd_histogram,lag_volume_1,lag_volume_7,lag_volume_9,lag_volume_6,lag_volume_4,lag_volume_10
1573430400,9044.51,9065.8,8624.44,8731.92,74.459175,8624.44,52.12033799999995,117.80739551999999,2303.382848247322,251.3739472954456,196.93694878309094,31.36286401042751,441.35999999999876,107.47999999999956,312.59000000000015,74.459175,50.229502,142.738944,-68.12424108173315,85.368805,52.793238,66.076289,54.873119,67.721284,97.201588
1573516800,8712.08,8874.22,8600.0,8821.69,87.183872,8600.0,139.30420999999996,119.55105295999999,1824.3823506502558,257.8646429794004,178.677734840389,32.04513436224954,274.21999999999935,112.07999999999993,109.61000000000058,87.183872,85.368805,50.229502,-73.03581335396905,74.459175,54.873119,34.509873,34.746287,142.738944,66.076289
1573603200,8823.72,8841.26,8721.49,8791.21,161.907523,8721.49,-22.603313000000043,118.74218744,1033.2769006489398,265.8764442869501,159.72115875841,41.09367889269771,119.77000000000044,69.71999999999935,32.51000000000022,161.907523,74.459175,85.368805,-75.82543854457282,87.183872,34.746287,52.793238,67.721284,50.229502,34.509873
1573689600,8791.22,8808.57,8598.33,8645.97,70.182731,8598.33,-92.78604400000005,119.03748264,1036.1771721273544,255.2479162957822,138.67672562245306,40.114191179435494,210.23999999999978,47.63999999999942,145.25,70.182731,87.183872,74.459175,-84.17696363199056,161.907523,67.721284,54.873119,142.738944,85.368805,52.793238
1573776000,8645.97,8783.3,8408.21,8473.65,94.894971,8408.21,-187.68101500000006,120.09778047999998,1175.5212563140922,262.01240907001375,114.40225871322488,38.98324665728196,375.09000000000015,65.44000000000051,172.3199999999997,94.894971,161.907523,87.183872,-97.09715809345013,70.182731,142.738944,34.746287,50.229502,74.459175,54.873119
1573862400,8479.04,8535.98,8445.92,8495.01,68.057582,8445.92,-119.62343300000006,120.51607404,1202.1489767455896,223.69172493512121,89.45235334139498,35.27419420927946,90.05999999999949,33.1200000000008,15.969999999999345,68.057582,70.182731,161.907523,-99.79903805807872,94.894971,50.229502,67.721284,85.368805,87.183872,34.746287
1573948800,8495.01,8626.55,8420.0,8511.33,95.148871,8420.0,-24.474562000000063,121.99423286000001,1272.9285036853726,179.1123370060898,65.4411254278938,34.380723012104625,206.54999999999927,75.01000000000022,16.31999999999971,95.148871,94.894971,70.182731,-96.0444624706587,68.057582,85.368805,142.738944,74.459175,161.907523,67.721284
1574035200,8511.51,8511.51,8069.0,8186.59,71.17284,8069.0,-95.64740200000006,122.18490623999998,1396.9764846967664,240.9338609937144,38.007294517531726,30.057463859954822,442.5100000000002,117.59000000000015,324.9200000000001,71.17284,68.057582,94.894971,-109.73491307285909,95.148871,74.459175,50.229502,87.183872,70.182731,142.738944
1574121600,8182.71,8208.97,8004.04,8133.77,83.997387,8004.04,-179.64478900000006,121.62465548,1547.6711417909728,282.54028437257966,8.947347917669338,27.38801538376212,204.92999999999938,129.73000000000047,48.9399999999996,83.997387,95.148871,68.057582,-116.23943847571064,71.17284,87.183872,85.368805,161.907523,94.894971,50.229502
1574208000,8134.49,8229.5,8046.64,8094.38,58.436428,8046.64,-238.08121700000007,121.79616288,1674.8447099370605,270.75956890037247,-20.24986147997513,29.08250280919389,182.85999999999967,47.73999999999978,40.10999999999967,58.436428,71.17284,95.148871,-116.78855793687038,83.997387,161.907523,74.459175,70.182731,68.057582,85.368805
